name1,name2,is_match
Varun Gupta,Varun Guptaa,1
Varun Gupta,Vrun Gpta,1
Varun Gupta,Adeetya Seengh,0
Varun Gupta,Manish Gupta,0
Varun Guptaa,Varun Gupta,1
Varun Guptaa,Vrun Gpta,1
Varun Guptaa,Sanjay Chauhan,0
Varun Guptaa,Yash Sharma,0
Vrun Gpta,Varun Gupta,1
Vrun Gpta,Varun Guptaa,1
Vrun Gpta,Kavita Agarwal,0
Vrun Gpta,Krishhna Singh,0
Varun Mishra,Lakshmi Mishra,0
Varun Mishra,Maanish Sharma,0
Kavita Singh,Kawita Seengh,1
Kavita Singh,Gauraw Vermaa,0
Kavita Singh,Mnaish Chauahn,0
Kawita Seengh,Kavita Singh,1
Kawita Seengh,Manish Shah,0
Kawita Seengh,Kavita Mishra,0
Pooja Choudhary,Ploja Choudjary,1
Pooja Choudhary,Poojaa Yadaw,0
Pooja Choudhary,Pooja Singh,0
Ploja Choudjary,Pooja Choudhary,1
Ploja Choudjary,Aaarv Mehtx,0
Ploja Choudjary,Aarav Kumar,0
Rahul Agarwal,Raahul Agaarwal,1
Rahul Agarwal,Shryea Gurta,0
Rahul Agarwal,Ravm Yadav,0
Raahul Agaarwal,Rahul Agarwal,1
Raahul Agaarwal,Rahul Mehta,0
Raahul Agaarwal,Aarab Singh,0
Gaurav Choudhary,Gaurab Choudhhary,1
Gaurav Choudhary,Manish Kummar,0
Gaurav Choudhary,Aarab Pathel,0
Gaurab Choudhhary,Gaurav Choudhary,1
Gaurab Choudhhary,Arjun Guptaa,0
Gaurab Choudhhary,Ananya Chauhan,0
Neha Mishra,Neah Misha,1
Neha Mishra,Neha Mishra,1
Neha Mishra,Kavita Patel,0
Neha Mishra,Kavita Shah,0
Neah Misha,Neha Mishra,1
Neah Misha,Neha Mishra,1
Neah Misha,Yash Yadav,0
Neah Misha,Aditya Agarwal,0
Neha Mishra,Neha Mishra,1
Neha Mishra,Neah Misha,1
Neha Mishra,Vikraam Agaarwal,0
Neha Mishra,Deepak Chauhan,0
Neha Agarwal,Nehaa Agaarwal,1
Neha Agarwal,Nehaa Agaarwal,1
Neha Agarwal,Deepak Trivedi,0
Neha Agarwal,Lxakshmi Mheta,0
Nehaa Agaarwal,Neha Agarwal,1
Nehaa Agaarwal,Nehaa Agaarwal,1
Nehaa Agaarwal,Yas Shaah,0
Nehaa Agaarwal,Kavitha Yadab,0
Nehaa Agaarwal,Neha Agarwal,1
Nehaa Agaarwal,Nehaa Agaarwal,1
Nehaa Agaarwal,Adeetya Agaarwal,0
Nehaa Agaarwal,Vikram Chooodhary,0
Manish Kumar,Manlsh Kdumar,1
Manish Kumar,Varun Shah,0
Manish Kumar,Vikram Sharma,0
Manlsh Kdumar,Manish Kumar,1
Manlsh Kdumar,Vikram Sinngh,0
Manlsh Kdumar,Neha Mishra,0
Manish Mehta,Manixh Kuma,0
Manish Mehta,Manish Joshi,0
Vikram Yadav,Vkram Yadoav,1
Vikram Yadav,Amit Sharma,0
Vikram Yadav,Aimt Agarawl,0
Vkram Yadoav,Vikram Yadav,1
Vkram Yadoav,Nehaa Mishraa,0
Vkram Yadoav,Vaun Sharmua,0
Krishna Patel,Krisna Paatel,1
Krishna Patel,Krishnna Pathel,1
Krishna Patel,Krishhna Pathel,1
Krishna Patel,Amit Sharma,1
Krishna Patel,Vyrun Choudahry,0
Krishna Patel,Aarv Patle,0
Krisna Paatel,Krishna Patel,1
Krisna Paatel,Krishnna Pathel,1
Krisna Paatel,Krishhna Pathel,1
Krisna Paatel,Amit Sharma,1
Krisna Paatel,Yas Shaah,0
Krisna Paatel,Manish Choudhary,0
Krishnna Pathel,Krishna Patel,1
Krishnna Pathel,Krisna Paatel,1
Krishnna Pathel,Krishhna Pathel,1
Krishnna Pathel,Amit Sharma,1
Krishnna Pathel,Deepak Trivedi,0
Krishnna Pathel,Aarab Kummar,0
Krishhna Pathel,Krishna Patel,1
Krishhna Pathel,Krisna Paatel,1
Krishhna Pathel,Krishnna Pathel,1
Krishhna Pathel,Amit Sharma,1
Krishhna Pathel,Aditya Verma,0
Krishhna Pathel,Mannish Guptha,0
Amit Mehta,Ammit Mehtha,1
Amit Mehta,Amith Mehtha,1
Amit Mehta,Kavita Choudhary,0
Amit Mehta,Vikram Verma,0
Ammit Mehtha,Amit Mehta,1
Ammit Mehtha,Amith Mehtha,1
Ammit Mehtha,Ishaan Gupta,0
Ammit Mehtha,Shreya Gupta,0
Amith Mehtha,Amit Mehta,1
Amith Mehtha,Ammit Mehtha,1
Amith Mehtha,Diwya Mehtaa,0
Amith Mehtha,Annanya Sharmma,0
Ravi Mehta,Gaaurav Seengh,0
Ravi Mehta,Arjunn Trivedi,0
Kavita Mishra,Kavia Mtishra,1
Kavita Mishra,Kaavita Meeshra,1
